453,257,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,70,71,72,73,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257
485,289,224,225,224,225,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,102,103,104,105,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289
453,257,423,424,423,424,423,424,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,134,135,136,137,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257
485,289,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289
453,257,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257
485,289,288,289,288,289,43,44,288,289,288,289,43,44,288,289,224,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289
453,257,256,257,256,257,75,76,256,257,423,424,423,424,423,424,423,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257
485,289,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289
453,257,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257
485,289,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289
453,364,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357
485,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389
453,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421
485,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
